CNT,CNTRYID,CNTSCHID,CNTSTUID,ESCS,ST004D01T,ST001D01T,REPEAT,DISCLIM,TEACHSUP,COGACRCO,COGACMCO,W_FSTUWT,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH
COL,170.0,17000229.0,17000138.0,-2.2292,1.0,10.0,1.0,1.0345,1.4067,0.536,0.466,6.41873,334.826,330.778,364.09,351.418,366.356,311.085,345.053,355.27,341.111,371.413
COL,170.0,17000215.0,17000139.0,0.9265,2.0,10.0,0.0,0.488,-0.5635,-0.3511,0.4174,75.66897,499.57,505.316,525.971,518.115,469.275,512.448,510.296,509.162,469.334,486.098
COL,170.0,17000219.0,17000140.0,-2.191,2.0,10.0,1.0,-0.1126,-0.1002,-0.0044,0.2324,44.67636,424.519,439.121,412.188,405.024,420.563,428.905,407.365,407.512,394.632,407.851
COL,170.0,17000161.0,17000142.0,0.3906,1.0,9.0,1.0,1.6526,1.5558,0.526,0.9707,37.21753,476.942,485.272,430.045,447.457,450.311,425.725,430.596,410.133,481.061,511.958
COL,170.0,17000063.0,17000143.0,-0.7169,2.0,9.0,1.0,-0.3664,1.5558,3.6285,0.8944,95.27883,431.798,400.198,410.198,403.934,415.655,387.194,393.237,419.098,435.38,426.579
COL,170.0,17000192.0,17000144.0,-0.1705,2.0,9.0,1.0,0.488,1.5558,2.1494,1.9317,88.49236,369.014,430.878,339.801,391.011,370.661,386.414,395.098,378.759,413.368,362.043
COL,170.0,17000240.0,17000145.0,-1.2763,2.0,8.0,1.0,-0.5288,-1.0693,-2.3116,-1.8443,73.13095,387.686,357.484,363.568,367.885,376.923,359.035,366.727,368.501,346.118,387.598
COL,170.0,17000153.0,17000146.0,-0.2148,1.0,11.0,0.0,0.3658,0.8211,0.9109,0.8333,103.4509,422.602,433.988,458.488,465.517,454.913,412.532,420.107,457.006,423.771,441.804
COL,170.0,17000152.0,17000147.0,-1.3408,2.0,10.0,1.0,0.7711,-0.3322,0.2945,-0.1036,75.37684,460.949,397.155,395.248,412.928,433.496,476.493,462.581,409.707,403.307,427.6
COL,170.0,17000084.0,17000148.0,-0.748,1.0,10.0,0.0,0.1614,-1.3627,-0.4456,-0.5287,36.55441,389.009,418.582,359.122,349.412,384.205,381.892,431.728,386.774,381.698,414.697
COL,170.0,17000236.0,17000149.0,-1.8199,2.0,10.0,0.0,-0.1219,-0.5635,0.0518,1.7853,89.64665,305.63,303.067,388.213,368.912,346.253,389.909,317.06,277.771,336.069,288.5
COL,170.0,17000128.0,17000150.0,0.0621,1.0,8.0,1.0,-0.1254,-1.3627,0.2671,0.5111,90.06045,256.08,225.081,238.33,303.438,259.907,274.924,282.874,242.471,231.596,260.589
COL,170.0,17000220.0,17000151.0,0.429,2.0,10.0,1.0,0.4821,0.8211,0.8665,1.2017,24.56358,512.182,485.442,485.084,458.575,481.914,456.088,431.242,489.988,486.027,490.164
COL,170.0,17000256.0,17000153.0,-0.8488,1.0,11.0,0.0,0.9899,1.5558,-0.3058,-0.1665,77.65535,421.671,455.633,453.441,451.912,437.396,481.392,464.202,483.593,492.989,443.866
COL,170.0,17000214.0,17000154.0,-3.5487,1.0,10.0,0.0,0.3847,1.5558,-1.1689,0.0097,45.25216,310.75,338.186,357.246,297.002,333.075,349.153,304.73,339.532,259.19,359.958
COL,170.0,17000213.0,17000155.0,-0.4983,2.0,11.0,0.0,0.123,1.5558,-1.7291,-0.3702,44.99433,409.522,406.941,463.843,416.92,450.912,443.76,450.736,501.899,421.354,450.459
